1068002 function calls in 31.311 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 viewport.py:72(update_perspective)
        1    0.024    0.024    0.024    0.024 viewport.py:92(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      856    0.002    0.000    0.002    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
      856    0.011    0.000    0.011    0.000 {built-in method _uuid.generate_time_safe}
        1    0.000    0.000    0.000    0.000 {built-in method addApplicationFont}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000   31.311   31.311 {built-in method builtins.exec}
     1910    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
     3879    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     4308    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     2494    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
    46932    0.006    0.000    0.006    0.000 {built-in method builtins.len}
     6463    0.003    0.000    0.003    0.000 {built-in method builtins.max}
     1127    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     2494    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       21    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1   18.855   18.855   30.828   30.828 {built-in method exec_}
      856    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    3.957    3.957    4.077    4.077 {built-in method getOpenFileName}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
     4305    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {built-in method setFont}
        6    0.002    0.000    0.002    0.000 {built-in method zeno.pyzeno.dumpDescriptors}
     1127    0.001    0.000    0.001    0.000 {built-in method zenvis.pyzenvis.auto_gc_frame_data}
     2254    0.002    0.000    0.002    0.000 {built-in method zenvis.pyzenvis.get_curr_frameid}
     1127    0.000    0.000    0.000    0.000 {built-in method zenvis.pyzenvis.get_render_fps}
     1127    0.001    0.000    0.001    0.000 {built-in method zenvis.pyzenvis.get_solver_interval}
        1    0.006    0.006    0.006    0.006 {built-in method zenvis.pyzenvis.initialize}
     1127    0.003    0.000    0.003    0.000 {built-in method zenvis.pyzenvis.look_perspective}
     1127    0.541    0.000    0.541    0.000 {built-in method zenvis.pyzenvis.new_frame}
     1127    0.001    0.000    0.001    0.000 {built-in method zenvis.pyzenvis.set_curr_frameid}
     1127    0.001    0.000    0.001    0.000 {built-in method zenvis.pyzenvis.set_curr_playing}
     1127    0.004    0.000    0.004    0.000 {built-in method zenvis.pyzenvis.set_window_size}
        2    0.000    0.000    0.000    0.000 {function MainWindow.keyPressEvent at 0x7fc7eeea60d0}
     1129    0.002    0.000    0.002    0.000 {function MainWindow.timerEvent at 0x7fc7eeea6160}
        1    0.000    0.000    0.000    0.000 {function NodeEditor.showEvent at 0x7fc7eee9d0d0}
        2    0.000    0.000    0.000    0.000 {function QDMGraphicsScene.mousePressEvent at 0x7fc7eee8dee0}
      373    0.011    0.000    0.017    0.000 {function QDMGraphicsView.mouseMoveEvent at 0x7fc7eee955e0}
        5    0.000    0.000    0.000    0.000 {function QDMGraphicsView.mousePressEvent at 0x7fc7eee95550}
        8    0.000    0.000    0.000    0.000 {function QDMGraphicsView.mouseReleaseEvent at 0x7fc7eee95670}
       17    0.009    0.001    0.009    0.001 {function QDMGraphicsView.setScene at 0x7fc7eee950d0}
        1    0.000    0.000    0.000    0.000 {function QDMGraphicsView.showEvent at 0x7fc7eee95160}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'accept' of 'PySide2.QtCore.QEvent' objects}
     1788    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        9    0.000    0.000    0.000    0.000 {method 'addAction' of 'PySide2.QtWidgets.QMenu' objects}
     1750    0.039    0.000    0.039    0.000 {method 'addItem' of 'PySide2.QtWidgets.QGraphicsScene' objects}
       17    0.001    0.000    0.001    0.000 {method 'addItems' of 'PySide2.QtWidgets.QComboBox' objects}
        2    0.000    0.000    0.000    0.000 {method 'addMenu' of 'PySide2.QtWidgets.QMenuBar' objects}
     4781    0.003    0.000    0.003    0.000 {method 'addRect' of 'PySide2.QtGui.QPainterPath' objects}
    14343    0.026    0.000    0.026    0.000 {method 'addRoundedRect' of 'PySide2.QtGui.QPainterPath' objects}
        1    0.000    0.000    0.000    0.000 {method 'addSeparator' of 'PySide2.QtWidgets.QMenu' objects}
     2124    0.028    0.000    0.028    0.000 {method 'addWidget' of 'PySide2.QtWidgets.QBoxLayout' objects}
        2    0.002    0.001    0.002    0.001 {method 'addWidget' of 'PySide2.QtWidgets.QSplitter' objects}
       12    0.000    0.000    0.000    0.000 {method 'angleDelta' of 'PySide2.QtGui.QWheelEvent' objects}
     8234    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       14    0.000    0.000    0.000    0.000 {method 'button' of 'PySide2.QtGui.QMouseEvent' objects}
        3    0.000    0.000    0.000    0.000 {method 'buttons' of 'PySide2.QtGui.QMouseEvent' objects}
       17    0.001    0.000    0.001    0.000 {method 'clear' of 'PySide2.QtWidgets.QComboBox' objects}
     2577    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        1    0.009    0.009    0.009    0.009 {method 'close' of 'PySide2.QtWidgets.QWidget' objects}
     1072    0.014    0.000    0.014    0.000 {method 'connect' of 'PySide2.QtCore.SignalInstance' objects}
      856    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
     5607    0.003    0.000    0.003    0.000 {method 'cubicTo' of 'PySide2.QtGui.QPainterPath' objects}
     1767    0.002    0.000    0.002    0.000 {method 'defaultTextOption' of 'PySide2.QtGui.QTextDocument' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     1767    0.006    0.000    0.006    0.000 {method 'document' of 'PySide2.QtWidgets.QGraphicsTextItem' objects}
    25272    0.101    0.000    0.101    0.000 {method 'drawEllipse' of 'PySide2.QtGui.QPainter' objects}
    23837    0.085    0.000    0.085    0.000 {method 'drawPath' of 'PySide2.QtGui.QPainter' objects}
        5    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
     2718    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      956    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     8762    0.008    0.000    0.008    0.000 {method 'format' of 'str' objects}
     1054    0.001    0.000    0.001    0.000 {method 'geometry' of 'PySide2.QtWidgets.QGraphicsLayoutItem' objects}
        2    0.000    0.000    0.000    0.000 {method 'geometry' of 'PySide2.QtWidgets.QWidget' objects}
     1712    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1054    0.000    0.000    0.000    0.000 {method 'height' of 'PySide2.QtCore.QRectF' objects}
      856    0.001    0.000    0.001    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
     1712    0.003    0.000    0.003    0.000 {method 'hide' of 'PySide2.QtWidgets.QGraphicsItem' objects}
       21    0.000    0.000    0.000    0.000 {method 'horizontalScrollBar' of 'PySide2.QtWidgets.QAbstractScrollArea' objects}
     9494    0.003    0.000    0.003    0.000 {method 'isSelected' of 'PySide2.QtWidgets.QGraphicsItem' objects}
        2    0.000    0.000    0.000    0.000 {method 'itemAt' of 'PySide2.QtWidgets.QGraphicsView' objects}
     9399    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      861    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'key' of 'PySide2.QtGui.QKeyEvent' objects}
       17    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      859    0.071    0.000    0.071    0.000 {method 'load' of 'PySide2.QtSvg.QSvgWidget' objects}
        6    0.000    0.000    0.000    0.000 {method 'localPos' of 'PySide2.QtGui.QMouseEvent' objects}
        8    0.000    0.000    0.000    0.000 {method 'm11' of 'PySide2.QtGui.QTransform' objects}
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 {method 'modifiers' of 'PySide2.QtGui.QInputEvent' objects}
        3    0.000    0.000    0.000    0.000 {method 'move' of 'PySide2.QtWidgets.QWidget' objects}
    80916    0.026    0.000    0.026    0.000 {method 'normalized' of 'PySide2.QtCore.QRectF' objects}
     4713    0.002    0.000    0.002    0.000 {method 'path' of 'PySide2.QtWidgets.QGraphicsPathItem' objects}
